company_name,price,change,perc_change,volume
Bitdeer Technologies Group,25.36,5.24,26.04,22.2M
"Hillenbrand, Inc.",31.24,4.75,17.91,20.9M
Navitas Semiconductor Corporation,14.36,1.79,14.24,88.7M
"Applied Optoelectronics, Inc.",32.31,3.83,13.47,3.8M
Sandisk Corporation,144.15,16.86,13.25,5.6M
Bunge Global SA,91.97,9.56,11.6,2.7M
NuScale Power Corporation,51.17,5.38,11.75,40.5M
Celcuity Inc.,50.83,4.63,10.02,0.417338M
New Oriental Education & Technology Group Inc.,58.06,5.18,9.8,1.4M
NovaGold Resources Inc.,10.82,0.94,9.51,4.7M
SSR Mining Inc.,25.81,2.21,9.36,2.3M
Telix Pharmaceuticals Limited,10.96,0.92,9.16,0.283589M
"Apellis Pharmaceuticals, Inc.",25.17,2.02,8.73,1.0M
NewAmsterdam Pharma Company N.V.,40.97,3.11,8.21,0.816135M
Corcept Therapeutics Incorporated,77.97,5.85,8.12,0.518114M
"Advanced Micro Devices, Inc.",235.66,17.57,8.06,64.7M
Hecla Mining Company,14.35,1.06,8.01,11.5M
Hut 8 Corp.,53.78,3.83,7.67,8.6M
"Hims & Hers Health, Inc.",58.11,4.09,7.57,18.0M
Innodata Inc.,81.21,5.38,7.09,1.2M
Harmony Gold Mining Company Limited,20.98,1.44,7.4,4.0M
"IDEAYA Biosciences, Inc.",29.07,2.0,7.39,0.605142M
Centrus Energy Corp.,423.22,27.06,6.83,1.3M
"Fluence Energy, Inc.",19.76,1.31,7.09,12.2M
"Arrowhead Pharmaceuticals, Inc.",38.48,2.52,7.0,0.55672M
Melco Resorts & Entertainment Limited,8.34,0.55,7.13,3.0M
"Recursion Pharmaceuticals, Inc.",6.32,0.43,7.39,73.3M
Regencell Bioscience Holdings Limited,18.40,1.18,6.85,0.188571M
Allied Gold Corporation,20.24,1.28,6.72,0.18533M
"Viking Therapeutics, Inc.",35.24,2.19,6.63,2.5M
TAL Education Group,11.15,0.7,6.73,3.5M
"Allegro MicroSystems, Inc.",29.40,1.79,6.48,1.7M
Endeavour Silver Corp.,9.25,0.55,6.33,9.6M
First Majestic Silver Corp.,14.69,0.88,6.4,11.9M
"RXO, Inc.",18.03,1.09,6.43,0.531712M
"DigitalOcean Holdings, Inc.",43.11,2.63,6.5,1.7M
"Coeur Mining, Inc.",22.33,1.34,6.41,7.0M
Adaptive Biotechnologies Corporation,16.55,0.97,6.23,0.565758M
"First Solar, Inc.",239.46,15.03,6.69,2.0M
Kinross Gold Corporation,27.02,1.58,6.21,7.0M
"GRAIL, Inc.",73.50,4.21,6.07,0.405368M
Alvotech,9.02,0.52,6.12,0.292308M
Equinox Gold Corp.,12.68,0.81,6.78,6.6M
"Disc Medicine, Inc.",77.52,4.52,6.19,0.172348M
WeRide Inc.,11.26,0.64,6.03,5.8M
Celestica Inc.,262.28,14.53,5.86,1.2M
Beam Therapeutics Inc.,26.94,1.52,5.98,1.0M
"Nuvalent, Inc.",89.59,4.93,5.82,0.257215M
"Avidity Biosciences, Inc.",50.99,2.86,5.94,0.518507M
"Arcutis Biotherapeutics, Inc.",21.69,1.26,6.17,0.775209M
KLA Corporation,"1,084.30",58.59,5.71,0.522423M
Nova Ltd.,331.99,17.91,5.7,0.119303M
Summit Therapeutics Inc.,22.99,1.24,5.7,1.1M
Fortuna Mining Corp.,9.69,0.52,5.67,10.0M
Morgan Stanley,164.00,8.66,5.57,7.0M
Denali Therapeutics Inc.,16.06,0.85,5.59,0.68236M
VEON Ltd.,51.52,2.67,5.47,0.073751M
Plexus Corp.,147.68,7.74,5.53,0.125692M
Seabridge Gold Inc.,27.55,1.41,5.39,0.656097M
"Vishay Intertechnology, Inc.",16.92,0.88,5.49,0.575276M
"ASE Technology Holding Co., Ltd.",11.94,0.62,5.43,3.6M
Generac Holdings Inc.,193.30,9.48,5.16,0.753073M
"SolarEdge Technologies, Inc.",39.62,1.89,5.01,2.0M
"Moderna, Inc.",27.63,1.38,5.26,3.9M
B2Gold Corp.,5.65,0.31,5.9,28.2M
Banco Macro S.A.,53.49,2.63,5.18,0.574787M
Applied Digital Corporation,36.90,1.86,5.29,31.9M
Alamos Gold Inc.,35.87,1.81,5.31,1.7M
LandBridge Company LLC,54.22,2.69,5.22,0.17999M
Bloom Energy Corporation,120.23,6.17,5.41,9.1M
"Dyne Therapeutics, Inc.",16.21,0.76,4.92,1.5M
WEBTOON Entertainment Inc.,18.30,0.89,5.11,0.239279M
"Apogee Therapeutics, Inc.",55.01,2.68,5.13,0.382488M
Enovix Corporation,13.52,0.65,5.06,8.2M
Ultragenyx Pharmaceutical Inc.,33.29,1.6,5.05,0.503491M
Centerra Gold Inc.,12.41,0.6,5.13,0.520871M
"Intellia Therapeutics, Inc.",25.10,1.2,5.02,2.5M
Capri Holdings Limited,21.00,0.98,4.92,1.2M
Silicon Motion Technology Corporation,93.11,4.37,4.92,0.116379M
Fluor Corporation,50.65,2.42,5.02,4.0M
"Venture Global, Inc.",9.44,0.44,4.89,5.2M
"VNET Group, Inc.",9.62,0.44,4.79,3.5M
DRDGOLD Limited,30.34,1.38,4.77,0.410815M
Atour Lifestyle Holdings Limited,37.07,1.68,4.75,0.656819M
IAMGOLD Corporation,14.23,0.63,4.67,6.0M
"e.l.f. Beauty, Inc.",138.66,6.17,4.66,0.449614M
Roblox Corporation,139.43,6.15,4.61,4.9M
"CG Oncology, Inc.",44.81,1.97,4.59,0.360131M
"Lumen Technologies, Inc.",7.17,0.3,4.37,6.2M
Manchester United plc,17.66,0.75,4.44,0.466889M
"Core Scientific, Inc.",19.78,0.84,4.46,11.2M
Flex Ltd.,62.17,2.58,4.32,2.0M
Bank of America Corporation,52.33,2.24,4.47,35.6M
"Cogent Biosciences, Inc.",16.15,0.72,4.63,0.81004M
