,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,RNA,"Avidity Biosciences, Inc.",,70.00 +20.85 (+42.42%),20.85,+42.42%,68.999M,4.103M,10.213B,--,+57.06%,21.51 70.51
1,DYN,"Dyne Therapeutics, Inc.",,24.17 +7.05 (+41.18%),7.05,+41.18%,12.265M,2.772M,3.439B,--,-20.02%,6.36 35.68
2,BBAR,Banco BBVA Argentina S.A.,,14.23 +4.12 (+40.75%),4.12,+40.75%,6.598M,1.249M,3.039B,11.58,+2.67%,7.76 25.01
3,GGAL,Grupo Financiero Galicia S.A.,,49.14 +13.71 (+38.70%),13.71,+38.70%,14.609M,3.074M,8.112B,7.77,-8.20%,25.89 74.00
4,BMA,Banco Macro S.A.,,79.11 +21.63 (+37.63%),21.63,+37.63%,3.515M,712642,5.251B,15.24,+0.19%,38.30 118.42
5,TEO,Telecom Argentina S.A.,,10.89 +2.97 (+37.50%),2.97,+37.50%,2.311M,306735,4.697B,--,+24.89%,6.43 15.54
6,TGS,Transportadora de Gas del Sur S.A.,,30.75 +8.27 (+36.79%),8.27,+36.79%,2.317M,566542,3.563B,17.00,+37.03%,19.74 34.37
7,YPF,YPF Sociedad Anónima,,33.36 +6.41 (+23.78%),6.41,+23.78%,15.366M,2.755M,13.091B,14.71,+34.30%,22.82 47.43
8,PAM,Pampa Energía S.A.,,77.49 +14.87 (+23.75%),14.87,+23.75%,2.059M,396151,4.4B,8.06,+16.70%,54.95 97.55
9,VIST,"Vista Energy, S.A.B. de C.V.",,47.50 +7.47 (+18.66%),7.47,+18.66%,7.981M,1.441M,4.952B,5.93,-6.22%,31.63 61.67
10,CAAP,Corporación América Airports S.A.,,21.62 +3.18 (+17.25%),3.18,+17.25%,569839,205839,3.526B,19.73,+15.31%,15.01 22.85
11,BBIO,"BridgeBio Pharma, Inc.",,63.56 +9.30 (+17.14%),9.3,+17.14%,8.486M,2.48M,12.151B,--,+159.43%,21.72 65.00
12,LUMN,"Lumen Technologies, Inc.",,9.36 +1.27 (+15.70%),1.27,+15.70%,37.818M,16.125M,9.605B,--,+41.82%,3.01 10.33
13,IMVT,"Immunovant, Inc.",,21.43 +2.49 (+13.15%),2.49,+13.15%,2.465M,1.575M,3.736B,--,-28.28%,12.72 32.10
14,DGNX,Diginex Limited,,15.76 +1.76 (+12.57%),1.76,+12.57%,973575,624187,3.199B,--,"+2,115.82%",0.45 39.86
15,LMND,"Lemonade, Inc.",,58.45 +6.31 (+12.10%),6.31,+12.10%,3.091M,2.693M,4.319B,--,+223.46%,17.91 62.00
16,JHG,Janus Henderson Group plc,,46.35 +4.72 (+11.34%),4.72,+11.34%,6.945M,1.224M,7.23B,15.68,+13.02%,28.26 49.42
17,QURE,uniQure N.V.,,67.92 +6.91 (+11.33%),6.91,+11.33%,2.456M,3.294M,4.184B,--,+957.94%,5.35 68.30
18,QCOM,QUALCOMM Incorporated,,187.68 +18.74 (+11.09%),18.74,+11.09%,78.358M,9.07M,202.507B,16.31,+6.64%,120.80 205.95
19,IDYA,"IDEAYA Biosciences, Inc.",,32.37 +3.19 (+10.93%),3.19,+10.93%,1.772M,1.23M,2.837B,--,+8.41%,13.45 32.67
20,AAOI,"Applied Optoelectronics, Inc.",,37.22 +3.21 (+9.44%),3.21,+9.44%,5.108M,5.235M,2.321B,--,+137.52%,9.71 44.50
21,CELC,Celcuity Inc.,,77.51 +6.54 (+9.22%),6.54,+9.22%,1.898M,1.351M,3.288B,--,+387.18%,7.58 83.00
22,GLNG,Golar LNG Limited,,41.53 +3.41 (+8.95%),3.41,+8.95%,2.995M,1.291M,4.249B,--,+13.16%,29.56 45.98
23,SYM,Symbotic Inc.,,70.69 +5.59 (+8.59%),5.59,+8.59%,2.003M,2.125M,41.742B,--,+139.46%,16.32 79.58
24,CRNX,"Crinetics Pharmaceuticals, Inc.",,44.34 +3.35 (+8.17%),3.35,+8.17%,1.265M,1.465M,4.176B,--,-21.19%,24.10 62.53
25,LITE,Lumentum Holdings Inc.,,193.80 +14.50 (+8.09%),14.5,+8.09%,5.417M,3.382M,13.743B,484.59,+194.71%,45.65 206.91
26,ASTS,"AST SpaceMobile, Inc.",,79.45 +5.75 (+7.80%),5.75,+7.80%,9.836M,12.322M,28.973B,--,+194.48%,17.50 102.79
27,RMBS,Rambus Inc.,,113.61 +8.19 (+7.77%),8.19,+7.77%,3.784M,2.002M,12.224B,49.91,+122.76%,40.12 114.55
